AreaName,PostalStreetName,Location,UnitNumber,ComponentDescription,ColumnName,Network,Northing,Easting
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Sign,9,180W SOX,Octagonal,UnderGround,234937.644,304548.619
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Sign,10,180W SOX,Octagonal,UnderGround,234965.097,304524.707
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,11,180W SOX,Octagonal,UnderGround,234915.861,304523.049
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,12,180W SOX,Octagonal,UnderGround,234943.794,304498.906
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,13,180W SOX,Octagonal,UnderGround,234892.899,304496.539
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,14,180W SOX,Octagonal,UnderGround,234920.602,304472.387
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,15,180W SOX,Octagonal,UnderGround,234870.646,304470.499
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,16,180W SOX,Octagonal,UnderGround,234898.349,304446.347
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,17,180W SOX,Octagonal,UnderGround,234848.164,304444.459
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,18,180W SOX,Octagonal,UnderGround,234875.857,304420.076
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,19,180W SOX,Octagonal,UnderGround,234824.961,304417.231
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Sign,20,180W SOX,Octagonal,UnderGround,234853.364,304393.797
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Road Sign,21,180W SOX,Octagonal,UnderGround,234802.708,304391.191
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,22,180W SOX,Octagonal,UnderGround,234830.882,304367.757
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,23,180W SOX,Octagonal,UnderGround,234779.516,304364.441
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,24,180W SOX,Octagonal,UnderGround,234808.629,304341.486
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,25,180W SOX,Octagonal,UnderGround,234757.263,304336.983
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,26,180W SOX,Octagonal,UnderGround,234787.327,304315.446
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,27,180W SOX,Octagonal,UnderGround,234736.431,304309.763
